匹配辅助列,中文意思
Korekta/Zwrot kosztów zapasów FBA — zwrot od klienta,FBA库存赔偿-客户退货
Liquidationen,清仓-收入
Liquidations,清仓-收入
Liquidations Adjustments,清仓-收入调整
Liquidationsanpassungen,清仓-收入调整
Modifica/Ricarico acquirente,向买家收取的费用调整
Modifica/Rimborso inventario Logistica di Amazon. Aggiustamento generale,FBA库存赔偿-常规调整
Modifica/Rimborso inventario Logistica di Amazon. Danneggiato in magazzino,FBA库存赔偿-仓库损毁
Modifica/Rimborso inventario Logistica di Amazon. Reso cliente,FBA库存赔偿-客户退货
Modifica/Rimborso inventario Logistica di Amazon. Smarrito in magazzino,FBA库存赔偿-仓库遗失
Opłata za usługę/Koszt reklamy,广告费
Order,商品销售收入
Order_Retrocharge,订单追加费-商品税
Order_Retrocharge/retrocharge for,订单追加费-商品税
Ordine,商品销售收入
Overboeking,提现金额
Pedido,商品销售收入
Przelew,提现金额
Reembolso,商品销售收入-退货
Refund,商品销售收入-退货
Refund_Retrocharge,订单追加费-商品税
Refund_Retrocharge/retrocharge reversal for,退款追加费-商品税
Remboursement,商品销售收入-退货
Rimborso,商品销售收入-退货
Service Fee - Reversal/Inbound Defect Fee - Shipments delivered to the wrong location,亚马逊罚款-送错仓库
Service Fee/Cost of Advertising,广告费
Service Fee/Cost of advertising,广告费
Service Fee/Coupon Redemption Fee,优惠券使用费
Service Fee/FBA Inbound Placement Service Fee,FBA入库配置费
Service Fee/Inbound Defect Fee - Amazon barcode missing,入库手续费-缺少面单
Service Fee/Inbound Defect Fee - Shipments delivered to the wrong location,亚马逊罚款-送错仓库
Service Fee/Refund for Advertiser,广告费退款
Service Fee/Subscription,店铺月租
Service Fee/Unplanned Service Charge - Deleted/Abandoned Shipments,亚马逊罚款-删除货件
Service Fee/Vine Enrollment Fee,好评活动注册费
Serviceavgift/Kostnad för reklam,广告费
Servicegebühr/Coupon-Einlösungsgebühr,优惠活动服务费
Servicegebühr/Werbekosten,广告费
Servicekosten/Kosten van reclame,广告费
Shipping Services/Adjustment,运费调整
Shipping Services/ReturnPostageBilling,卖家承担退回运费
Tarifa de prestación de servicio/Gastos de publicidad,广告费
Tarifas de Amazon/Tarifa basada en el rendimiento de la oferta,好评活动报名费
Tarifas de Amazon/Tarifa basada en el rendimiento del cupón,优惠券点击费
Tarifas de Amazon/Tarifa de participación en el cupón,优惠活动报名费
Tarifas de Amazon/Tarifa de participación en la oferta,好评活动服务费
Tarifas de Amazon/Tarifa de registro en Vine,好评活动注册费
Tarifas de inventario de Logística de Amazon/Capacity Reservation Fee,FBA仓储超量费
Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento de Logística de Amazon,FBA仓储费
Tarifas de inventario de Logística de Amazon/Tarifa por almacenamiento prolongado,FBA长期仓储费
Tarifas de inventario de Logística de Amazon/Tarifa por devolución de inventario,FBA客户退货处理费
Tarifas de inventario de Logística de Amazon/Tarifa por eliminación de inventario,FBA弃置费
Tarifas de transacción de Logística de Amazon,FBA配送费
Tariffe e commissioni Amazon/Commissione basata sulla performance del coupon,优惠券点击费
Tariffe e commissioni Amazon/Commissione basata sulla performance dell'offerta,促销活动报名费
Tariffe e commissioni Amazon/Commissione di partecipazione ai coupon,优惠活动报名费
Tariffe e commissioni Amazon/Commissione di partecipazione all'offerta,促销活动服务费
Tariffe e commissioni Amazon/Tariffa di iscrizione a Vine,好评活动注册费
Terugbetaling,商品销售收入-退货
"Transaktionsgebühren für Versand durch Amazon/""Versand durch Amazon""-Gebühr für Kundenrücksendungen",FBA退货服务费
Transfer,提现金额
Transferir,提现金额
Transfert,提现金额
Transférer,提现金额
Trasferimento,提现金额
Verbindlichkeit/amzn1.cam.v1.sgid,预提费用
Versand durch Amazon Lagergebühr/Capacity Reservation Fee,FBA仓储超量费
Versand durch Amazon Lagergebühr/FBA-Lagergebühr,FBA仓储费
Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Entsorgung,FBA弃置费
Versand durch Amazon Lagergebühr/Versand durch Amazon Gebühr für Rücksendung,亚马逊额外退货处理费
Versand durch Amazon Lagergebühr/Versand durch Amazon Langzeitlagergebühr,FBA长期仓储费
Zamówienie,商品销售收入
Zwrot kosztów,商品销售收入-退货
order,商品销售收入
Återbetalning,商品销售收入-退货
Överföring,提现金额
Übertrag,提现金额
促销,优惠活动服务费
其他交易服务费,其他交易服务费
匹配成本及头程用/匹配成本及头程用,商品采购成本
振込み,提现金额
注文,商品销售收入
注文外料金/クーポン償還手数料,优惠活动服务费
注文外料金/広告費用,广告费
注文外料金/月額登録料,店铺月租
調整/FBA在庫の返金 - 紛失: フルフィルメントセンター,FBA库存赔偿-仓库遗失
調整/FBA在庫の返金 - 紛失: フルフィルメントセンター:,FBA库存赔偿-仓库遗失
調整/FBA在庫の返金 - 紛失: 出荷時:,FBA库存赔偿-出运丢失
調整/FBA在庫の返金 - 購入者による返品:,FBA库存赔偿-客户退货
調整/購入者の再課金：,客户货款追回
返金,商品销售收入-退货
