原始列名,中文意思,语言,添加时间
fulfilment,配送方式,英语,2026-04-17
Région d'où provient la commande,下单州,法语,2026-04-17
reglerings-id,结算单号,瑞典语,2026-04-17
Regulatory Fee,监管费,英语,2026-04-17
Regulatory fee,监管费,英语,2026-04-17
rynek,站点,波兰语,2026-04-17
sales tax collected,已收取的销售税,英语,2026-04-17
schikkings-ID,结算单号,荷兰语,2026-04-17
Sconti promozionali,折扣金额,意大利语,2026-04-17
selling fees,佣金,英语,2026-04-17
settlement id,结算单号,英语,2026-04-17
settlement ID,结算单号,英语,2026-04-17
shipping credits,运费销售收入,英语,2026-04-17
shipping credits tax,运费税,英语,2026-04-17
site de vente,站点,法语,2026-04-17
Skatt för marknadsplatsförmedlare,平台代扣代缴税额,瑞典语,2026-04-17
sku,SKU,英语,2026-04-17
SKU,SKU,英语,2026-04-17
sprzedaż produktów,商品销售收入,波兰语,2026-04-17
środki na pokrycie pakowania na prezent,包装收入,波兰语,2026-04-17
stad för beställning,下单城市,瑞典语,2026-04-17
stan zamówienia,订单状态,波兰语,2026-04-17
status bestelling,订单状态,荷兰语,2026-04-17
Steuer auf Aktionsrabatte,折扣税,德语,2026-04-17
Steuer auf Geschenkverpackungsgutschriften,包装税,德语,2026-04-17
Steuer auf Versandgutschrift,运费税,德语,2026-04-17
Steuererhebungsmodell,税收缴纳模式,德语,2026-04-17
suma,结算金额,波兰语,2026-04-17
tarifas de Logística de Amazon,运费,西班牙语,2026-04-17
tarifas de otras transacciones,其他交易费用,西班牙语,2026-04-17
tarifas de venta,佣金,西班牙语,2026-04-17
tax collection model,税收缴纳模式,英语,2026-04-17
Tax on regulatory fee,监管费税,英语,2026-04-17
Tax On Regulatory Fee,监管费税,英语,2026-04-17
taxe de ventes prélevée,已收取的销售税,法语,2026-04-17
Taxe Marketplace Facilitator,平台代扣代缴税额,法语,2026-04-17
taxe sur les crédits d'expédition,运费税,法语,2026-04-17
Taxes retenues sur le site de vente,平台代扣代缴税额,法语,2026-04-17
Taxes sur la vente des produits,商品销售税,法语,2026-04-17
Taxes sur les crédits cadeaux,包装税,法语,2026-04-17
Taxes sur les remises promotionnelles,折扣税,法语,2026-04-17
Tipo,结算类型,意大利语,2026-04-17
tipo,结算类型,西班牙语,2026-04-17
totaal,结算金额,荷兰语,2026-04-17
total,结算金额,英语,2026-04-17
Total des réductions,折扣金额,法语,2026-04-17
totale,结算金额,意大利语,2026-04-17
totalt,结算金额,瑞典语,2026-04-17
traitement,配送方式,法语,2026-04-17
trattenuta IVA del marketplace,平台代扣代缴税额,意大利语,2026-04-17
Typ,结算类型,德语,2026-04-17
typ,结算类型,瑞典语,2026-04-17
type,结算类型,英语,2026-04-17
Umsätze,商品销售收入,德语,2026-04-17
Vendite,商品销售收入,意大利语,2026-04-17
ventas de productos,商品销售收入,西班牙语,2026-04-17
ventes de produits,商品销售收入,法语,2026-04-17
Verkaufsgebühren,佣金,德语,2026-04-17
verkoop van producten,商品销售收入,荷兰语,2026-04-17
verkoopkosten,佣金,荷兰语,2026-04-17
Versand,配送方式,德语,2026-04-17
Verzendtegoeden,运费销售收入,荷兰语,2026-04-17
ville de la commande,下单城市,法语,2026-04-17
ville d'où provient la commande,下单城市,法语,2026-04-17
web de Amazon,站点,西班牙语,2026-04-17
ギフト包装クレジットの税金,包装税,日语,2026-04-17
ギフト包装手数料,包装收入,日语,2026-04-17
その他,其他,日语,2026-04-17
トランザクションに関するその他の手数料,其他交易费用,日语,2026-04-17
トランザクションの種類,结算类型,日语,2026-04-17
フルフィルメント,配送方式,日语,2026-04-17
プロモーション割引の税金,折扣税,日语,2026-04-17
プロモーション割引額,折扣金额,日语,2026-04-17
都道府県,下单州,日语,2026-04-17
合計,结算金额,日语,2026-04-17
決済番号,结算单号,日语,2026-04-17
配送料,运费销售收入,日语,2026-04-17
配送料の税金,运费税,日语,2026-04-17
日付/時間,结算日期,日语,2026-04-17
商品の売上税,商品销售税,日语,2026-04-17
商品売上,商品销售收入,日语,2026-04-17
市町村,下单城市,日语,2026-04-17
手数料,佣金,日语,2026-04-17
数量,销量,日语,2026-04-17
税金徴収型,税收缴纳模式,日语,2026-04-17
説明,订单描述,日语,2026-04-17
郵便番号,邮编,日语,2026-04-17
源泉徴収税を伴うマーケットプレイス,平台代扣代缴税额,日语,2026-04-17
注文番号,订单号,日语,2026-04-17
source_file,数据源,英语,2026-04-17
source_directory,文件位置,英语,2026-04-17
country_code,销售区域,英语,2026-04-17
crédits d'expédition,运费销售收入,法语,2026-04-17
crédits d'emballage-cadeau,包装收入,法语,2026-04-17
